Gene,Importance,symbol,name
ENSG00000104763,5.1020744662629786e-05,ASAH1,N-acylsphingosine amidohydrolase 1
ENSG00000086598,5.097282298341722e-05,TMED2,transmembrane p24 trafficking protein 2
ENSG00000112378,5.065546464268381e-05,PERP,p53 apoptosis effector related to PMP22
ENSG00000148248,5.049426941308649e-05,SURF4,surfeit 4
ENSG00000173660,5.017406289416111e-05,UQCRH,ubiquinol-cytochrome c reductase hinge protein
ENSG00000169738,5.0157959177422114e-05,DCXR,dicarbonyl and L-xylulose reductase
ENSG00000042445,5.008084646263512e-05,RETSAT,retinol saturase
ENSG00000136167,4.977544188844831e-05,LCP1,lymphocyte cytosolic protein 1
ENSG00000237541,4.977297305670884e-05,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2"
ENSG00000198355,4.9752283815527565e-05,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase"
ENSG00000089157,4.954301635576998e-05,RPLP0,ribosomal protein lateral stalk subunit P0
ENSG00000178372,4.929879567852863e-05,CALML5,calmodulin like 5
ENSG00000065054,4.9180569105154726e-05,NHERF2,NHERF family PDZ scaffold protein 2
ENSG00000100219,4.8849363923916846e-05,XBP1,X-box binding protein 1
ENSG00000115255,4.871646241545934e-05,REEP6,receptor accessory protein 6
ENSG00000149273,4.859492439257141e-05,RPS3,ribosomal protein S3
ENSG00000188488,4.859134297603508e-05,SERPINA5,serpin family A member 5
ENSG00000184897,4.853508276835062e-05,H1-10,H1.10 linker histone
ENSG00000170099,4.845046998242087e-05,SERPINA6,serpin family A member 6
ENSG00000175793,4.839527433481577e-05,SFN,stratifin
ENSG00000103257,4.791723443989748e-05,SLC7A5,solute carrier family 7 member 5
ENSG00000198727,4.7815499338564585e-05,MT-CYB,cytochrome b
ENSG00000129170,4.778578784758136e-05,CSRP3,cysteine and glycine rich protein 3
ENSG00000125414,4.771643433602458e-05,MYH2,myosin heavy chain 2
ENSG00000141736,4.769434440469813e-05,ERBB2,erb-b2 receptor tyrosine kinase 2
ENSG00000170801,4.762230200622018e-05,HTRA3,HtrA serine peptidase 3
ENSG00000123983,4.740140650929373e-05,ACSL3,acyl-CoA synthetase long chain family member 3
ENSG00000166033,4.727085363621277e-05,HTRA1,HtrA serine peptidase 1
ENSG00000184557,4.706470165871065e-05,SOCS3,suppressor of cytokine signaling 3
ENSG00000108349,4.705479787115231e-05,CASC3,CASC3 exon junction complex subunit
ENSG00000023734,4.7035362123439815e-05,STRAP,serine/threonine kinase receptor associated protein
ENSG00000274576,4.702400874506135e-05,IGHV2-70,immunoglobulin heavy variable 2-70
ENSG00000225972,4.701571509495105e-05,MTND1P23,MT-ND1 pseudogene 23
ENSG00000163040,4.6852763292409263e-05,CCDC74A,coiled-coil domain containing 74A
ENSG00000130066,4.675191251553072e-05,SAT1,spermidine/spermine N1-acetyltransferase 1
ENSG00000148175,4.671897366937296e-05,STOM,stomatin
ENSG00000139629,4.664871157634982e-05,GALNT6,polypeptide N-acetylgalactosaminyltransferase 6
ENSG00000243238,4.649672754987009e-05,IGKV2-30,immunoglobulin kappa variable 2-30
ENSG00000124935,4.6459632541918885e-05,SCGB1D2,secretoglobin family 1D member 2
ENSG00000234741,4.631653560571385e-05,GAS5,growth arrest specific 5
ENSG00000205420,4.631329883358377e-05,KRT6A,keratin 6A
ENSG00000158716,4.6278049376320185e-05,DUSP23,dual specificity phosphatase 23
ENSG00000072310,4.626436287927146e-05,SREBF1,sterol regulatory element binding transcription factor 1
ENSG00000133048,4.5984726857958166e-05,CHI3L1,chitinase 3 like 1
ENSG00000138801,4.5960927755976434e-05,PAPSS1,3'-phosphoadenosine 5'-phosphosulfate synthase 1
ENSG00000198899,4.559265513247489e-05,MT-ATP6,ATP synthase F0 subunit 6
ENSG00000282639,4.547406186186189e-05,IGHV3-64D,immunoglobulin heavy variable 3-64D
ENSG00000188846,4.53079790180782e-05,RPL14,ribosomal protein L14
ENSG00000115415,4.517573322908868e-05,STAT1,signal transducer and activator of transcription 1
ENSG00000231500,4.50550492737272e-05,RPS18,ribosomal protein S18
ENSG00000147535,4.503899657255603e-05,PLPP5,phospholipid phosphatase 5
ENSG00000170027,4.502892370587048e-05,YWHAG,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
ENSG00000166598,4.493128445257187e-05,HSP90B1,heat shock protein 90 beta family member 1
ENSG00000170889,4.492001638820984e-05,RPS9,ribosomal protein S9
ENSG00000118785,4.4825623379333774e-05,SPP1,secreted phosphoprotein 1
ENSG00000127022,4.474055646506932e-05,CANX,calnexin
ENSG00000229604,4.467518527062782e-05,MTATP8P2,MT-ATP8 pseudogene 2
ENSG00000125844,4.451312198670556e-05,RRBP1,ribosome binding protein 1
ENSG00000232573,4.430093440088808e-05,RPL3P4,ribosomal protein L3 pseudogene 4
ENSG00000156976,4.418320558979917e-05,EIF4A2,eukaryotic translation initiation factor 4A2
ENSG00000120885,4.4088405060468594e-05,CLU,clusterin
ENSG00000143819,4.406614591146833e-05,EPHX1,epoxide hydrolase 1
ENSG00000125691,4.403048354669868e-05,RPL23,ribosomal protein L23
ENSG00000140526,4.402543987280828e-05,ABHD2,"abhydrolase domain containing 2, acylglycerol lipase"
ENSG00000173511,4.401222062344129e-05,VEGFB,vascular endothelial growth factor B
ENSG00000244575,4.355253740385395e-05,IGKV1-27,immunoglobulin kappa variable 1-27
ENSG00000234918,4.3547659291633e-05,,
ENSG00000166145,4.330593934389656e-05,SPINT1,"serine peptidase inhibitor, Kunitz type 1"
ENSG00000163131,4.321801434065029e-05,CTSS,cathepsin S
ENSG00000003989,4.309101950293175e-05,SLC7A2,solute carrier family 7 member 2
ENSG00000215845,4.3009103677160594e-05,TSTD1,thiosulfate sulfurtransferase like domain containing 1
ENSG00000197958,4.290114959316277e-05,RPL12,ribosomal protein L12
ENSG00000100345,4.288406312796728e-05,MYH9,myosin heavy chain 9
ENSG00000111341,4.274514661988192e-05,MGP,matrix Gla protein
ENSG00000211965,4.264746315222926e-05,IGHV3-49,immunoglobulin heavy variable 3-49
ENSG00000138615,4.251344462287164e-05,CILP,cartilage intermediate layer protein
ENSG00000117519,4.24965189292065e-05,CNN3,calponin 3
ENSG00000108953,4.236023041219343e-05,YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
ENSG00000111245,4.224775088720023e-05,MYL2,myosin light chain 2
ENSG00000117335,4.21752587873976e-05,CD46,CD46 molecule
ENSG00000130255,4.216511156259451e-05,RPL36,ribosomal protein L36
ENSG00000204287,4.210936329020486e-05,HLA-DRA,"major histocompatibility complex, class II, DR alpha"
ENSG00000102837,4.208596697217036e-05,OLFM4,olfactomedin 4
ENSG00000253755,4.187711732261585e-05,IGHGP,immunoglobulin heavy constant gamma P (non-functional)
ENSG00000067560,4.163606036867308e-05,RHOA,ras homolog family member A
ENSG00000211650,4.10434176929621e-05,IGLV5-45,immunoglobulin lambda variable 5-45
ENSG00000170477,4.100383867115097e-05,KRT4,keratin 4
ENSG00000211941,4.0954323002052806e-05,IGHV3-11,immunoglobulin heavy variable 3-11
ENSG00000205002,4.094630535690679e-05,AARD,alanine and arginine rich domain containing protein
ENSG00000198786,4.091578852670872e-05,MT-ND5,NADH dehydrogenase subunit 5
ENSG00000124422,4.0871742431419486e-05,USP22,ubiquitin specific peptidase 22
ENSG00000162511,4.034486003711819e-05,LAPTM5,lysosomal protein transmembrane 5
ENSG00000179010,4.021872041320662e-05,MRFAP1,Morf4 family associated protein 1
ENSG00000167552,4.015954881144488e-05,TUBA1A,tubulin alpha 1a
ENSG00000273768,4.004805766920524e-05,LOC124904613,U1 spliceosomal RNA
ENSG00000204388,3.993141500903637e-05,HSPA1B,heat shock protein family A (Hsp70) member 1B
ENSG00000136810,3.9736937640901554e-05,TXN,thioredoxin
ENSG00000137975,3.968288706395509e-05,CLCA2,chloride channel accessory 2
ENSG00000176978,3.928509387710429e-05,DPP7,dipeptidyl peptidase 7
ENSG00000011028,3.9269339392354586e-05,MRC2,mannose receptor C-type 2
ENSG00000069275,3.9219407097070726e-05,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1
ENSG00000133636,3.921244733235157e-05,NTS,neurotensin
ENSG00000124145,3.906401209366932e-05,SDC4,syndecan 4
ENSG00000172137,3.899252229902464e-05,CALB2,calbindin 2
ENSG00000182809,3.897372836237222e-05,CRIP2,cysteine rich protein 2
ENSG00000088882,3.895873416727455e-05,CPXM1,"carboxypeptidase X, M14 family member 1"
ENSG00000212464,3.8900911915306685e-05,SNORA12,"small nucleolar RNA, H/ACA box 12"
ENSG00000240409,3.887252052533602e-05,MTATP8P1,MT-ATP8 pseudogene 1
ENSG00000187840,3.87339820474229e-05,EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1
ENSG00000124702,3.853241590977189e-05,KLHDC3,kelch domain containing 3
ENSG00000146476,3.841230582563235e-05,DCPH1,damage control phosphatase 1
ENSG00000118523,3.811224586436339e-05,CCN2,cellular communication network factor 2
ENSG00000213722,3.796545491552633e-05,DDAH2,"DDAH family member 2, ADMA-independent"
ENSG00000147255,3.789349167519136e-05,IGSF1,immunoglobulin superfamily member 1
ENSG00000124762,3.7648718961870944e-05,CDKN1A,cyclin dependent kinase inhibitor 1A
ENSG00000166794,3.757279884665425e-05,PPIB,peptidylprolyl isomerase B
ENSG00000228253,3.7410753034807154e-05,MT-ATP8,ATP synthase F0 subunit 8
ENSG00000030582,3.7361417240377214e-05,GRN,granulin precursor
ENSG00000168653,3.725515987600317e-05,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5
ENSG00000110107,3.724076894052912e-05,PRPF19,pre-mRNA processing factor 19
ENSG00000002834,3.72284196284172e-05,LASP1,LIM and SH3 protein 1
ENSG00000189143,3.7222652462895314e-05,CLDN4,claudin 4
ENSG00000198744,3.720663127342023e-05,MTCO3P12,MT-CO3 pseudogene 12
ENSG00000211597,3.7092094736857394e-05,IGKJ1,immunoglobulin kappa joining 1
ENSG00000131748,3.705598028681808e-05,STARD3,StAR related lipid transfer domain containing 3
ENSG00000117298,3.692238784694393e-05,ECE1,endothelin converting enzyme 1
ENSG00000091527,3.673062673649216e-05,CDV3,CDV3 homolog
ENSG00000047457,3.661046240605675e-05,CP,ceruloplasmin
ENSG00000166913,3.65848119636747e-05,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
ENSG00000124102,3.653138098975207e-05,PI3,peptidase inhibitor 3
ENSG00000142949,3.6497056713039226e-05,PTPRF,protein tyrosine phosphatase receptor type F
ENSG00000213281,3.648957912322886e-05,NRAS,"NRAS proto-oncogene, GTPase"
ENSG00000203747,3.644645764343478e-05,FCGR3A,Fc gamma receptor IIIa
ENSG00000239474,3.638305091766837e-05,KLHL41,kelch like family member 41
ENSG00000169100,3.622464606634314e-05,SLC25A6,solute carrier family 25 member 6
ENSG00000106153,3.605394934025369e-05,CHCHD2,coiled-coil-helix-coiled-coil-helix domain containing 2
ENSG00000159388,3.6039403530025216e-05,BTG2,BTG anti-proliferation factor 2
ENSG00000150991,3.591817678012548e-05,UBC,ubiquitin C
ENSG00000167653,3.586988503646812e-05,PSCA,prostate stem cell antigen
ENSG00000240342,3.5857157522904035e-05,RPS2P5,ribosomal protein S2 pseudogene 5
ENSG00000008018,3.528848591138133e-05,PSMB1,proteasome 20S subunit beta 1
ENSG00000104979,3.511103914266704e-05,C19orf53,chromosome 19 open reading frame 53
ENSG00000175130,3.510416909824727e-05,MARCKSL1,MARCKS like 1
ENSG00000130985,3.498628724378803e-05,UBA1,ubiquitin like modifier activating enzyme 1
ENSG00000198830,3.497550426142506e-05,HMGN2,high mobility group nucleosomal binding domain 2
ENSG00000145632,3.4796496477372204e-05,PLK2,polo like kinase 2
ENSG00000150687,3.478789280327307e-05,PRSS23,serine protease 23
ENSG00000144476,3.4635437501668326e-05,ACKR3,atypical chemokine receptor 3
ENSG00000177156,3.460602995756993e-05,TALDO1,transaldolase 1
ENSG00000198938,3.457467126061925e-05,MT-CO3,cytochrome c oxidase subunit III
ENSG00000278845,3.446719746146572e-05,MRPL45,mitochondrial ribosomal protein L45
ENSG00000211934,3.445791208908845e-05,IGHV1-2,immunoglobulin heavy variable 1-2
